id,text,sound,timestamp,translate
34002,谎言之冠,,1457026380,1
34003,"这只闪闪发光的金色皇冠令人印象深刻，但它的底座材质是愚人金、而镶嵌的“宝石”是彩色玻璃。头戴这顶皇冠能使人获取额外法术位，但同时也会在人的头脑中填满虚假的知识。
 
属性：
 
装备能力：
– 可记忆2个额外的三环奥术、1个额外的四环奥术、1个额外的五环奥术
– 学识：-30
 
重量：1",,1457026380,1
34004,恐纳魔的复仇+2,,1457026380,1
34005,"深渊的劲敌、名为提·伯拉克斯的魔鬼被其直属上级迪斯帕托遣人刺杀。魔鬼以最后一息诅咒自身，令他的躯体永不安宁。即使在他的尸体被带回铁塔后，提·伯拉克斯的獠牙与棘刺仍然如同具有生命一样地不断抽搐。
 
他的同胞们肢解了这受诅咒的恐纳魔，希望借由毁灭这尸体将其上的诅咒一同毁灭；但解体后的尸块依旧痉挛、鞭笞着所触及的一切。结果，迪斯帕托下令铁匠将尸块锻造为一副铠甲，作为折磨下属的刑具。最终这铠甲落到有勇（无谋）的冒险者手中、并被带到费伦大陆。
 
时至今日，提·伯拉克斯的诅咒仍残留在铠甲上，棘刺将痛苦刺入每一个穿戴者的身体。它如同厚皮甲一般提供防护，还可给予穿戴者与提·伯拉克斯相似的再生能力；但那些心灵脆弱、或是肠胃不好的人无法承受这种时刻被恐纳魔仍有活性的利爪棘刺切割肢体、刺穿血肉的酷刑。
 
属性：
 
装备能力：
– 开锁：-10%
– 寻找陷阱：-10%
– 盗窃：-10%
– 无声行动：-20%
– 每轮再生2点HP
– 体质：-2
– 穿戴者无法受“防护邪恶”保护
– 只能通过“移除诅咒”法术卸下
 
防护等级：4 （对穿刺及远程攻击：6）
需求：
 6力量
 
重量：35",,1457026380,1
34008,奈瑟瑞尔法袍,,1457026380,1
34009,"在奈瑟瑞尔的辉煌年代，术士埃莱明·瓦尔的力量足以使他随心更改所见的世界，至少史书中如此记载。几百年间，关于此人力量来源的流言与传奇故事分歧甚多、乃至实情已不可考；但在所有的故事中，在埃莱明的巅峰时期他难以控制过强的力量，并因此失去了整个家庭。故事中，此后他以密斯特拉之泪制造了这件袍子，来压抑自身的力量、求得自保。在他晚年病重时，他拒绝脱下袍子以接受牧师的治疗。“全世界的魔法我都受够了，”埃莱明如是说，“让我作为普通人死去吧。”他最终得偿所愿。
 
属性：
 
装备能力：
– 魔法抗力：+50%
– 无法吟唱法术
– 只能通过“移除诅咒”法术卸下
 
重量：3",,1457026380,1
34010,轻足,,1457026380,1
34011,"这双靴子由一位希望接受训练成为影舞者、但脚步声实在太响的年轻法师制造。“影舞者在暗影中穿梭而不留声，”他们是这么说的，“可你走路像大象爬树。”
 
这位法师并未一蹶不振，而是制造了一双可使他的双脚虚体化的靴子，使他能够自信地落脚行走、同时免除踩踏杂物的喧闹之忧。
 
属性：
 
装备能力：
– 无声行动：+25%
– 免疫油腻、纠缠、蛛网术影响
 
重量：1",,1457026380,1
34012,闭目护腕,,1457026380,1
34013,"传言中，世界屋脊之下的洞穴中居住着一个鲜为人知的僧侣宗派，他们能在完全的黑暗中作战。他们能通过对手动作和呼吸的声音分辨其位置、并作出精准的攻击。这双护腕可使人获得正面对抗这些僧侣的能力。
 
属性：
 
装备能力：
– 零级命中率：+2（以拳头攻击时）
– 免疫目盲
 
战斗能力：
– 致命一击时，使对象目盲2轮（无豁免）。
 
重量：2",,1457026380,1
34014,轻语护符,,1457026380,1
34015,"大魔法师乌尔卡斯特热爱在他的学徒们面前长篇大论地发表讲话，从奥术理论长篇大论地扯到咒法道德。他的大部分学徒喜爱这种讲演，但也有一个学生决定打断他滔滔不绝的演说。
 
此后的一次课程上，那位学生站起来大喊：“我不会再听你讲下去了！”但令他惊恐的是，他没能发出任何声音。乌尔卡斯特扭动一枚护符的链条、使得礼堂中每一个学生陷入绝对的沉默，然后不受影响地讲了下去。
 
属性：
 
装备能力：
– 发声术
 
充能能力：
– 15码内沉默，每日一次。
 
重量：1",,1457026380,1
34016,四叶草,,1457026380,1
34017,"提普·老枫树，一名半身人，在家乡因从未输过牌局而闻名。提普将他的幸运归功于女神堤喀的保佑，并度过了平静祥和而富足的一生。
 
提普一百零三岁那年去世后，将生前最钟爱的腰带留给了他的儿子，后者发现了一片卡在皮带扣里的四叶草。究竟是提普将四叶草放在那里、还是他年轻时某一次滚下山坡而意外卡住叶片已经不得而知，但无论如何，提普的好运传给了他的儿子，直到他一次沿剑湾海岸旅行时腰带被食人魔偷走。
 
属性：
 
装备能力：
– 装备者受到“幸运术”效果。
 
重量：2",,1457026380,1
34018,猩红曙光+2,,1457026380,1
34019,"传言所述，这把锋刃现世于旭日东升之时，玫红的朝霞照耀森林时，刀刃出现在在一块扁石上。当地森林的居民、乃至于战士，惧怕其上可能有着恶意的诅咒而不敢触碰，直到一名曾是战士的、勇敢的年长者现身，他握住刀柄、将这武器据为己有。立刻有成群恶兽向他袭来；它们有着尖爪、利牙，并裹挟红雾。老人未曾胆怯、大杀四方，每一只斩杀的野兽都使他的动作更为敏捷，直到杀净了那片林间空地。村庄中设宴数日为这位老者庆贺，此人随后踏上旅途、作为一名冒险者度过余生。
 
属性：
 
装备能力：
– 致命一击：+5%（仅限使用该武器时）
 
战斗能力：
– 击杀目标时，15%几率使装备者加速三轮
 
零级命中率：+2
伤害：1d10+2 （挥砍）
使用速度：2
武器特长类别：武士刀
种类：单手武器
需求：
 6力量
 
重量：4",,1457026380,1
34020,冥河之呼,,1457026380,1
34021,这些以冥河水冻结成冰制造的弹丸有着使被击中者失去记忆的神秘能力。,,1457026380,1
34022,元素怒火+2,,1457026380,1
34023,"制造这把奇特匕首的法师对四个元素位面有着非同寻常的执念，并一直寻求将其合而为一的手段。他同时打开通向四个位面的传送门，将四种能量同时灌注于这件遗物之上，使其同时获得四个位面的能力。
 
不幸的是，他本人恰巧站在传送门之间，手中握持着匕首；而四种能量的交汇就发生在他身上。最终，一个学徒发现了这把匕首，握在他导师冻僵的碳化的双手里。
 
属性：
 
战斗能力：
– 对火元素造成额外1d4寒冷伤害
– 对水元素造成额外1d4火焰伤害
– 对土元素造成额外1d4强酸伤害
– 对风元素造成额外1d4电击伤害
 
零级命中率：+2
伤害：1d4+2穿刺，+1火焰、寒冷、强酸或电击（随机决定）
伤害类别：穿刺
使用速度：0
武器特长类别：匕首
种类：单手武器
需求：
 3力量
 
重量：0",,1457026380,1
34024,风暴之刺+2,,1457026380,1
